N°;Regione;Zona;Città Principale;N° Turisti 2021;N° Turisti 2022;N° Turisti 2023;N° Turisti 2024;Spesa Media per Turista (€);Attrazione Principale;Periodo di Alta Stagione;Turisti Italiani (%);Turisti Stranieri (%);Pernottamenti Medi;Turismo Culturale (%);Turismo Naturale (%)
1;Abruzzo;Sud;L'Aquila;4542000;4615000;4707000;4824396; 600 € ;Parco Nazionale del Gran Sasso;Estate;70;30;25;20;60
2;Basilicata;Sud;Matera;3652000;3710000;3784000;3878436; 700 € ;Sassi di Matera;Estate;75;25;30;30;50
3;Calabria;Sud;Reggio Calabria;9143000;9289000;9475000;9711856; 800 € ;Scilla;Estate;80;20;40;10;70
4;Campania;Sud;Napoli;30813000;31306000;31932000;32730216; 1.100 € ;Pompei;Primavera;35;65;35;50;30
5;Emilia-Romagna;Nord;Bologna;25529000;25937000;26456000;27117520; 900 € ;Rimini Riviera;Estate;60;40;50;35;50
6;Friuli-Venezia Giulia;Nord;Trieste;8312000;8445000;8614000;8828960; 950 € ;Castello di Miramare;Estate;45;55;35;40;30
7;Lazio;Centro;Roma;55214000;56097000;57219000;58649520; 1.500 € ;Colosseo;Primavera;30;70;40;80;10
8;Liguria;Nord;Genova;18849000;19151000;19534000;20022820; 1.000 € ;Cinque Terre;Primavera;40;60;30;50;30
9;Lombardia;Nord;Milano;47140000;47894000;48852000;50072816; 1.200 € ;Duomo di Milano;Autunno;40;60;25;60;20
10;Marche;Centro;Ancona;18107000;18397000;18765000;19234520; 850 € ;Riviera del Conero;Estate;50;50;45;45;40
11;Molise;Sud;Campobasso;1514000;1538000;1569000;1608132; 500 € ;Santuario dell'Addolorata;Estate;85;15;20;15;75
12;Piemonte;Nord;Torino;19472000;19784000;20180000;20684992; 950 € ;Museo Egizio;Autunno;50;50;30;60;20
13;Puglia;Sud;Bari;22561000;22922000;23380000;23964320; 850 € ;Alberobello;Estate;55;45;35;25;50
14;Sardegna;Centro;Cagliari;22531000;22891000;23349000;23932788; 900 € ;Costa Smeralda;Estate;65;35;60;10;80
15;Sicilia;Sud;Palermo;29092000;29557000;30148000;30901360; 1.000 € ;Valle dei Templi;Estate;50;50;50;30;50
16;Toscana;Centro;Firenze;35622000;36192000;36916000;37838400; 1.300 € ;Galleria degli Uffizi;Estate;25;75;40;70;20
17;Trentino-Alto Adige;Nord;Trento;20482000;20810000;21226000;21757080; 1.400 € ;Dolomiti;Inverno;15;85;70;75;80
18;Umbria;Centro;Perugia;5343000;5428000;5537000;5675760; 750 € ;Basilica di San Francesco;Primavera;60;40;35;60;30
19;Valle d'Aosta;Nord;Aosta;3266000;3318000;3384000;3468520; 1.500 € ;Monte Bianco;Inverno;10;90;80;85;10
20;Veneto;Nord;Venezia;50465000;51272000;52297000;53604400; 1.400 € ;Piazza San Marco;Primavera;20;80;45;80;15
